Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,274446.125,280919.375,274389.46875,280902.9375,280902.9375,728483172116
2022-01-02,280873.21875,285855.625,277747.96875,285342.96875,285342.96875,736273781012
2022-01-03,285340.78125,285843.09375,275129.34375,279860.09375,279860.09375,898852894872
2022-01-04,279858.6875,289102.3125,277278.09375,282790.625,282790.625,1045797313104
2022-01-05,282806.46875,285705.15625,257282.140625,264259.75,264259.75,1344328109712
2022-01-06,264209.3125,264209.3125,248490.546875,254392.671875,254392.671875,1807906488492
2022-01-07,254350.21875,254545.5,231607.25,237034.5625,237034.5625,1818222518032
2022-01-08,237056.25,240681.6875,224255.546875,229533.046875,229533.046875,1190563492679
2022-01-09,229512.546875,238056.59375,228340.734375,234481.53125,234481.53125,915922471736
2022-01-10,234468.09375,235515.703125,218432.9375,228323.59375,228323.59375,1446749813030
2022-01-11,228315.671875,239717.96875,226734.59375,239022.953125,239022.953125,1122841173554
2022-01-12,239047.9375,250931.75,237935.953125,248870.46875,248870.46875,1229709099795
2022-01-13,248859.15625,250849.203125,240135.265625,240283.875,240283.875,1131369202950
2022-01-14,240310.53125,247252.265625,237478.484375,245457.296875,245457.296875,1005778047067
2022-01-15,245445.640625,249501.5,243133.9375,246979.671875,246979.671875,713383056616
2022-01-16,246969.015625,250381.25,244090.015625,248909.25,248909.25,706108684811
2022-01-17,248911.125,249273.03125,234463.828125,238531.8125,238531.8125,916634857875
2022-01-18,238530.53125,240282.28125,230958.890625,236099.375,236099.375,971861609847
2022-01-19,236086.328125,236665.921875,227941.40625,230488.6875,230488.6875,981822730591
2022-01-20,230447.4375,242683.125,223395.828125,223411.609375,223411.609375,792511670998
2022-01-21,223548.34375,225492.53125,185813.953125,190362.421875,190362.421875,1994192099590
2022-01-22,190601.59375,194627.875,173418.046875,178994.65625,178994.65625,2036864797648
2022-01-23,179124.390625,189187.5625,177233.4375,188652.125,188652.125,1226516816455
2022-01-24,188715.53125,188813.578125,162161.203125,182160.21875,182160.21875,2106543373982
2022-01-25,182163.296875,186741.40625,176289.09375,183620.921875,183620.921875,1209700438018
2022-01-26,183594.3125,202524.8125,181406.140625,185181.375,185181.375,1592923619063
2022-01-27,185118.203125,188686.3125,175200.4375,182232.828125,182232.828125,1212868440913
2022-01-28,182130.96875,191162.34375,177779.3125,191035.84375,191035.84375,1099989784003
2022-01-29,190998.234375,197074.78125,189528.140625,194785.375,194785.375,837922016278
2022-01-30,194896.40625,197477.984375,191403.171875,195381.0,195381.0,713033195528
2022-01-31,195365.75,201131.9375,186560.953125,200427.484375,200427.484375,1027250858996
2022-02-01,200399.15625,209631.25,200005.421875,208698.921875,208698.921875,986258757135
2022-02-02,208687.078125,209470.9375,196735.625,200737.96875,200737.96875,1038260227764
2022-02-03,200690.984375,202939.6875,193342.09375,199984.109375,199984.109375,952125262034
2022-02-04,200125.5625,222713.875,199846.296875,222713.875,222713.875,1417326948002
2022-02-05,222778.0,227979.671875,221459.375,225032.5,225032.5,978023491274
2022-02-06,225055.734375,228499.28125,221358.515625,228216.75,228216.75,706564438834
2022-02-07,228212.71875,237511.28125,224158.15625,234612.28125,234612.28125,1134590670484
2022-02-08,234652.4375,240480.140625,227011.78125,233245.28125,233245.28125,1279990701714
2022-02-09,233138.765625,243979.625,229049.609375,242341.0625,242341.0625,1043685683021
2022-02-10,242390.140625,245314.359375,231932.21875,232468.859375,232468.859375,1407246209046
2022-02-11,232463.640625,235637.40625,218510.8125,221436.375,221436.375,1213608899764
2022-02-12,221436.578125,225422.453125,216263.53125,220678.359375,220678.359375,851314357927
2022-02-13,220635.0,222978.953125,215234.703125,217585.5625,217585.5625,683285676088
2022-02-14,217338.359375,223623.484375,214636.125,222022.265625,222022.265625,920682013731
2022-02-15,222041.1875,239552.75,220662.953125,239043.609375,239043.609375,1046514551176
2022-02-16,239086.4375,239174.390625,229514.328125,234464.953125,234464.953125,925947533375
2022-02-17,234392.125,236564.59375,214962.859375,216333.3125,216333.3125,1190738287945
2022-02-18,216547.9375,219505.09375,206195.59375,208050.390625,208050.390625,1176142883922
2022-02-19,207986.5625,211084.09375,202198.9375,206405.359375,206405.359375,729979005444
2022-02-20,206409.5,206409.5,193129.859375,196321.21875,196321.21875,869443473771
2022-02-21,196247.796875,204896.609375,192206.875,192623.125,192623.125,1395486709445
2022-02-22,192554.4375,197682.03125,188009.1875,196961.671875,196961.671875,1220904503136
2022-02-23,196972.6875,204540.640625,193163.3125,193383.296875,193383.296875,999080783151
2022-02-24,193219.546875,202715.5,174003.0625,195916.484375,195916.484375,2210401316137
2022-02-25,195944.3125,211804.265625,194442.625,207493.328125,207493.328125,1291621026745
2022-02-26,207527.390625,213921.921875,206027.75,208793.359375,208793.359375,880233825551
2022-02-27,208747.75,212491.265625,193764.203125,196813.171875,196813.171875,1212411034134
2022-02-28,196765.90625,220535.953125,195229.609375,219772.203125,219772.203125,1450451144564
2022-03-01,219815.46875,229266.84375,216970.9375,225318.671875,225318.671875,1421840054060
2022-03-02,225317.6875,229394.390625,220570.453125,222983.53125,222983.53125,1257464520893
2022-03-03,222986.40625,224117.453125,212506.3125,215099.484375,215099.484375,993452489068
2022-03-04,215138.828125,215153.15625,197760.0,199984.21875,199984.21875,1107751702272
2022-03-05,200084.890625,204717.71875,198443.28125,203627.21875,203627.21875,616832271776
2022-03-06,203635.796875,204300.109375,195260.078125,195260.078125,195260.078125,678087175528
2022-03-07,195279.953125,202424.25,189393.0625,192530.8125,192530.8125,1124928337223
2022-03-08,192526.96875,200977.359375,191912.921875,198189.875,198189.875,1070878022980
2022-03-09,198222.015625,211654.390625,197952.03125,207832.5,207832.5,1079114254530
2022-03-10,207781.71875,207781.71875,195978.78125,199021.59375,199021.59375,1014356167253
2022-03-11,199038.59375,203348.96875,193571.59375,196470.015625,196470.015625,950464621149
2022-03-12,196477.515625,200068.140625,196436.53125,197636.078125,197636.078125,501467590588
2022-03-13,197538.875,199155.5625,192185.796875,193341.6875,193341.6875,662549491239
2022-03-14,193306.5,199301.71875,192294.328125,198163.25,198163.25,860087991486
2022-03-15,198161.171875,203068.390625,192743.90625,199900.25,199900.25,981218118143
2022-03-16,199891.015625,211441.953125,199204.3125,210743.984375,210743.984375,1361986259418
2022-03-17,210737.015625,214772.375,208712.765625,213877.875,213877.875,963850018686
2022-03-18,213845.96875,225928.203125,210904.265625,223688.953125,223688.953125,1202302360309
2022-03-19,223641.78125,226320.046875,221065.703125,223758.390625,223758.390625,879193685433
2022-03-20,223780.453125,224571.640625,214633.40625,217319.796875,217319.796875,963706277329
2022-03-21,217292.765625,225179.765625,215971.125,221136.9375,221136.9375,1160338529709
2022-03-22,221121.484375,232440.953125,220672.9375,226261.65625,226261.65625,1280840136913
2022-03-23,226262.71875,232249.4375,223296.734375,232033.46875,232033.46875,1225499115491
2022-03-24,232033.0,237908.3125,230115.5625,237218.953125,237218.953125,1379208656404
2022-03-25,237248.5,242539.765625,235464.875,236972.6875,236972.6875,1299063841055
2022-03-26,236952.40625,240032.453125,235840.265625,239754.3125,239754.3125,677072514477
2022-03-27,239801.34375,251077.4375,238748.875,251077.4375,251077.4375,1024566052543
2022-03-28,251134.25,260561.359375,250120.765625,253698.171875,253698.171875,1567858446922
2022-03-29,253575.5,262678.3125,253575.5,257418.03125,257418.03125,1478027003375
2022-03-30,257383.109375,260465.296875,253371.453125,256689.890625,256689.890625,1160359062297
2022-03-31,256699.859375,260229.515625,248446.671875,249107.703125,249107.703125,1342496268162
2022-04-01,249178.5625,263360.375,244708.828125,262005.90625,262005.90625,1593733548500
2022-04-02,262023.875,267601.78125,261432.296875,261668.109375,261668.109375,1790368123671
2022-04-03,261649.21875,271555.34375,259860.421875,267717.875,267717.875,1165293416992
2022-04-04,267682.28125,266693.53125,258149.640625,265736.28125,265736.28125,1374245485956
2022-04-05,265736.1875,267058.15625,257329.03125,257422.96875,257422.96875,1258635197088
2022-04-06,257413.890625,257413.890625,240838.25,240875.25,240875.25,1946673888772
2022-04-07,240913.625,247982.96875,239652.3125,245449.046875,245449.046875,1271208486225
2022-04-08,245448.875,250773.78125,241352.546875,242334.28125,242334.28125,1332887394156
2022-04-09,242326.84375,247640.078125,241984.6875,247636.515625,247636.515625,752199104590
2022-04-10,247589.09375,250755.734375,243837.0625,243837.0625,243837.0625,791596442942
2022-04-11,243663.21875,243768.71875,224694.09375,226078.6875,226078.6875,1660242800903
2022-04-12,226106.625,233975.65625,224631.15625,230763.015625,230763.015625,1540948107510
2022-04-13,230725.046875,237772.65625,229087.15625,237374.453125,237374.453125,1224686001288
2022-04-14,237334.671875,239098.828125,227959.34375,230446.4375,230446.4375,1207317556224
2022-04-15,230463.609375,232386.140625,229049.03125,232118.03125,232118.03125,859238222358
2022-04-16,232133.796875,234711.03125,230248.25,233751.046875,233751.046875,669177028870
2022-04-17,233718.34375,234778.890625,228158.671875,228491.421875,228491.421875,798665042489
2022-04-18,228497.5625,233642.9375,220714.375,233235.609375,233235.609375,1421057532826
2022-04-19,233232.828125,238941.453125,231749.4375,237295.4375,237295.4375,1082167261861
2022-04-20,237282.3125,240957.71875,232252.71875,234759.53125,234759.53125,1185897662646
2022-04-21,234765.90625,241715.46875,225987.0,227920.421875,227920.421875,1585618614114
2022-04-22,227879.078125,230978.890625,225236.0625,226702.296875,226702.296875,1283274638499
2022-04-23,226699.75,227539.265625,223789.390625,224662.0,224662.0,697125275591
2022-04-24,224603.375,226479.421875,223439.6875,223483.078125,223483.078125,741455884871
2022-04-25,223502.765625,231156.15625,215011.859375,230302.71875,230302.71875,1709075030641
2022-04-26,230268.5,231614.40625,213968.359375,215661.296875,215661.296875,1463088489947
2022-04-27,215688.015625,222896.234375,215193.171875,220919.484375,220919.484375,1332070888576
2022-04-28,220913.375,227863.171875,219350.984375,224938.09375,224938.09375,1412575589923
2022-04-29,224925.484375,225440.734375,212974.03125,215463.359375,215463.359375,1436450132541
2022-04-30,215458.125,217087.65625,208714.21875,208927.0,208927.0,1034687331641
2022-05-01,208912.25,217226.96875,208765.6875,216389.390625,216389.390625,1173311952543
2022-05-02,216378.515625,219943.015625,213147.390625,218664.625,218664.625,1424118846099
