Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,12.705768,12.9228,12.694064,12.893913,12.893913,27670498575
2022-01-02,12.893277,13.113983,12.757254,12.994863,12.994863,29136745566
2022-01-03,12.995087,12.995087,12.521124,12.655166,12.655166,37640789933
2022-01-04,12.659862,12.851819,12.537298,12.581721,12.581721,40392309478
2022-01-05,12.584116,12.697147,11.305588,11.86585,11.86585,73991132635
2022-01-06,11.867022,12.033778,11.539895,11.922816,11.922816,53234919833
2022-01-07,11.922175,11.928907,11.247514,11.507495,11.507495,71958188650
2022-01-08,11.508056,11.708069,10.962204,11.280299,11.280299,43385771053
2022-01-09,11.280714,11.413067,11.106074,11.217451,11.217451,30354771645
2022-01-10,11.218039,11.275995,10.362634,10.616701,10.616701,56555866981
2022-01-11,10.616061,12.166648,10.563937,11.323267,11.323267,120204742187
2022-01-12,11.327597,11.929783,11.250795,11.929783,11.929783,66124852297
2022-01-13,11.923161,12.922875,11.923161,12.726422,12.726422,170271279558
2022-01-14,12.727147,15.067106,12.670195,13.611275,13.611275,428920115277
2022-01-15,13.618344,14.356616,13.546547,13.726509,13.726509,139286371102
2022-01-16,13.725785,13.725785,13.001579,13.160747,13.160747,81913192492
2022-01-17,13.161614,13.212496,12.397873,12.708515,12.708515,81263857463
2022-01-18,12.704139,12.904893,12.126173,12.348492,12.348492,73104661308
2022-01-19,12.348485,12.596656,11.946266,12.087601,12.087601,69612556274
2022-01-20,12.086921,12.560401,11.551761,11.553796,11.553796,34933719597
2022-01-21,11.558227,11.699081,10.530182,10.615348,10.615348,86555586550
2022-01-22,10.616146,10.792991,9.140052,9.889896,9.889896,126032861418
2022-01-23,9.894938,10.647471,9.884463,10.557158,10.557158,74881829206
2022-01-24,10.558485,10.56365,9.493195,10.285933,10.285933,108001950285
2022-01-25,10.284862,11.006003,9.956304,10.69521,10.69521,100752519908
2022-01-26,10.692625,11.422187,10.666083,10.788775,10.788775,94023270735
2022-01-27,10.786297,10.89871,10.297021,10.623148,10.623148,45780620610
2022-01-28,10.622903,10.710797,10.389722,10.62444,10.62444,38000845296
2022-01-29,10.623931,10.79901,10.611197,10.729398,10.729398,29821424495
2022-01-30,10.729514,10.770305,10.413022,10.46682,10.46682,27315172818
2022-01-31,10.466694,10.609062,10.26099,10.572432,10.572432,30739997579
2022-02-01,10.57241,10.775556,10.524299,10.661069,10.661069,30603324319
2022-02-02,10.660655,10.868896,10.24157,10.268263,10.268263,36153858440
2022-02-03,10.266612,10.377088,10.152349,10.266615,10.266615,28626560198
2022-02-04,10.265299,11.017173,10.244951,11.010563,11.010563,43350195188
2022-02-05,11.012794,11.207392,10.854361,10.983514,10.983514,43818111325
2022-02-06,10.98347,11.553352,10.842971,11.477766,11.477766,56504456856
2022-02-07,11.480202,12.802732,11.32631,12.361833,12.361833,133740243221
2022-02-08,12.363905,12.634407,11.484502,11.832192,11.832192,88896488180
2022-02-09,11.828567,12.027089,11.581905,11.903826,11.903826,58251709098
2022-02-10,11.905513,12.004285,11.405071,11.473498,11.473498,79589835047
2022-02-11,11.473976,11.597639,10.843341,10.956686,10.956686,58754307034
2022-02-12,10.957393,11.120491,10.6752,10.923217,10.923217,45590051567
2022-02-13,10.921247,11.902736,10.894974,11.239576,11.239576,119306874655
2022-02-14,11.233655,11.328916,10.865813,11.050297,11.050297,67968945691
2022-02-15,11.049774,11.445446,10.981014,11.408453,11.408453,50739454259
2022-02-16,11.40983,11.413186,11.025933,11.17633,11.17633,37899386381
2022-02-17,11.172886,11.240144,10.370984,10.402089,10.402089,54159278031
2022-02-18,10.405208,10.623955,10.228209,10.36381,10.36381,42108355913
2022-02-19,10.363518,10.896868,10.362552,10.545857,10.545857,48976733917
2022-02-20,10.545188,10.545188,10.146031,10.22201,10.22201,36606110613
2022-02-21,10.219766,10.521884,9.597869,9.61615,9.61615,68386323746
2022-02-22,9.615993,9.828044,9.384228,9.817316,9.817316,53131614229
2022-02-23,9.817922,10.092598,9.544357,9.544357,9.544357,43857789827
2022-02-24,9.542503,9.544709,8.248314,9.336537,9.336537,154321895196
2022-02-25,9.338792,9.620698,9.120715,9.575237,9.575237,60431686413
2022-02-26,9.574704,9.762543,9.471936,9.583143,9.583143,40208609454
2022-02-27,9.582528,9.624754,9.160728,9.24172,9.24172,44500941643
2022-02-28,9.242196,10.124857,9.153282,10.024691,10.024691,57649972269
2022-03-01,10.025987,10.421042,9.866536,10.152695,10.152695,66447892182
2022-03-02,10.154684,10.315034,9.950755,10.051987,10.051987,53630018970
2022-03-03,10.052597,10.136163,9.709486,9.835734,9.835734,39324165801
2022-03-04,9.837304,9.854351,9.28863,9.367527,9.367527,49719179870
2022-03-05,9.369269,9.580218,9.289644,9.55126,9.55126,25528870978
2022-03-06,9.553488,9.598313,9.199931,9.229096,9.229096,30603681371
2022-03-07,9.229373,9.397832,8.870438,9.026554,9.026554,39543717567
2022-03-08,9.026681,9.203176,8.929177,9.001278,9.001278,37797003603
2022-03-09,9.002641,9.47812,8.981051,9.257112,9.257112,39526138821
2022-03-10,9.255876,9.258959,8.821015,8.919569,8.919569,39196250475
2022-03-11,8.920193,9.02768,8.791351,8.873534,8.873534,29838400998
2022-03-12,8.873963,8.999143,8.837435,8.837725,8.837725,18059674354
2022-03-13,8.833471,8.921809,8.49571,8.566486,8.566486,28662640842
2022-03-14,8.566401,9.117088,8.505795,8.723555,8.723555,62882116879
